anzahl;vorname;geschlecht;position
239;Marie;w;2
189;Sophie;w;2
133;Maria;w;2
110;Marie;w;1
106;Emilia;w;1
96;Paul;m;1
90;Ben;m;1
89;Felix;m;1
86;Alexander;m;2
82;Mila;w;1
80;Anton;m;1
80;Leon;m;1
80;Noah;m;1
77;Elias;m;1
76;Anna;w;1
74;Emma;w;1
74;Mia;w;1
72;Charlotte;w;1
68;Lina;w;1
67;Jonas;m;1
66;Ella;w;1
65;Leo;m;1
62;Moritz;m;1
62;Lea;w;1
61;Maximilian;m;1
60;Liam;m;1
59;Lara;w;1
58;Lena;w;1
58;Jonathan;m;1
58;Luisa;w;1
57;Clara;w;1
56;Tom;m;1
55;Theo;m;1
54;Maximilian;m;2
54;Leni;w;1
54;Emil;m;1
54;Finn;m;1
54;Jakob;m;1
54;Julian;m;1
53;Sophie;w;1
52;Johanna;w;1
52;Sophia;w;1
51;Leonie;w;1
51;Louis;m;1
51;Milan;m;1
50;Ida;w;1
50;David;m;1
49;Katharina;w;2
49;Max;m;1
47;Elisabeth;w;2
47;Lia;w;1
46;Greta;w;1
45;Paul;m;2
45;Amelie;w;1
45;Oskar;m;1
45;Mira;w;1
45;Samuel;m;1
45;Paula;w;1
44;Anna;w;2
44;Henri;m;1
44;Hanna;w;1
44;Liya;w;1
43;Leonard;m;1
43;Tim;m;1
42;Luise;w;2
42;Lotta;w;1
42;Luis;m;1
40;Levi;m;1
40;Luca;m;1
39;Alexander;m;1
39;Matteo;m;1
38;Laura;w;1
38;Julius;m;1
37;Charlotte;w;2
37;Emily;w;1
37;Hannah;w;1
36;Henry;m;1
36;Mats;m;1
35;Elisa;w;1
35;Sofia;w;1
35;Adam;m;1
35;Lukas;m;1
34;Johanna;w;2
34;Emir;m;1
34;Gabriel;m;1
33;Vincent;m;1
32;Mathilda;w;1
32;Benjamin;m;1
32;Karl;m;1
31;Ali;m;2
31;Sophia;w;2
31;Lilly;w;1
31;Maya;w;1
31;Nora;w;1
31;Milo;m;1
30;Anton;m;2
30;Juna;w;1
30;Louisa;w;1
30;Mina;w;1
30;Nele;w;1
30;Tilda;w;1
30;Jan;m;1
30;Johann;m;1
29;Karl;m;2
29;Elif;w;1
29;Maria;w;1
29;Pauline;w;1
29;Niklas;m;1
28;Elias;m;2
28;Klara;w;1
28;Lisa;w;1
28;Erik;m;1
28;Jonah;m;1
27;Elisa;w;2
27;Frida;w;1
27;Romy;w;1
26;Emil;m;2
26;Johann;m;2
26;Lio;m;1
26;Julia;w;1
26;Philipp;m;1
26;Marlene;w;1
26;Valentin;m;1
26;Melina;w;1
25;David;m;2
25;Josef;m;2
25;Luisa;w;2
25;Aaron;m;1
25;Antonia;w;1
25;Malik;m;1
25;Elena;w;1
25;Mika;m;1
25;Frieda;w;1
25;Miran;m;1
25;Olivia;w;1
25;Toni;m;1
25;Sara;w;1
