anzahl;vorname;geschlecht
361;Marie;w
221;Sophie;w
195;Maria;w
160;Maximilian;m
140;Paul;m
139;Emilia;w
130;Charlotte;w
129;Elias;m
129;Anna;w
127;Noah;m
125;Alexander;m
121;Jonas;m
121;Mia;w
115;Emma;w
113;Leon;m
105;Sophia;w
103;Ben;m
96;Johanna;w
95;Felix;m
93;Jakob;m
88;David;m
87;Katharina;w
86;Mila;w
85;Luisa;w
84;Anton;m
83;Leo;m
79;Julian;m
77;Elisabeth;w
77;Moritz;m
76;Jonathan;m
74;Lena;w
73;Luca;m
71;Lea;w
71;Lina;w
71;Emil;m
70;Clara;w
69;Finn;m
68;Ella;w
67;Louis;m
66;Ida;w
66;Lara;w
65;Sofia;w
64;Jan;m
64;Johann;m
62;Philipp;m
62;Leonie;w
62;Marlene;w
61;Leonard;m
60;Tom;m
60;Luise;w
59;Benjamin;m
59;Elisa;w
59;Karl;m
59;Oskar;m
58;Paula;w
58;Lukas;m
55;Leni;w
55;Mira;w
55;Julius;m
54;Hannah;w
54;Gabriel;m
53;Amelie;w
53;Elif;w
53;Hanna;w
53;Laura;w
52;Henri;m
52;Mats;m
52;Max;m
52;Vincent;m
51;Greta;w
50;Milan;m
49;Henry;m
49;Liam;m
49;Samuel;m
48;Peter;m
46;Emily;w
46;Maya;w
43;Josefine;w
43;Mathilda;w
43;Ali;m
43;Luis;m
42;Theodor;m
42;Tim;m
41;Mina;w
41;Johannes;m
41;Theo;m
40;Frieda;w
40;Justus;m
39;Frida;w
39;Daniel;m
38;Antonia;w
38;Pauline;w
38;Frederik;m
38;Mika;m
37;Isabella;w
37;Julia;w
37;Yusuf;m
36;Helena;w
36;Matilda;w
36;Victoria;w
36;Jonah;m
35;Lotta;w
35;Louisa;w
35;Alessio;m
35;Niklas;m
34;Josef;m
34;Matteo;m
34;Michael;m
33;Mara;w
33;Sarah;w
33;Levi;m
33;Valentin;m
32;Lia;w
32;Christian;m
31;Nora;w
31;Can;m
31;Carl;m
30;Elena;w
30;Josephine;w
30;Pia;w
30;Zeynep;w
29;Eva;w
29;Jana;w
29;Maja;w
29;Benedikt;m
29;Paulina;w
29;Malik;m
29;Maxim;m
28;Ava;w
28;Meryem;w
28;Konstantin;m
28;Olivia;w
28;Linus;m
28;Martin;m
28;Simon;m
27;Alina;w
27;Klara;w
27;Lisa;w
27;Noel;m
27;Lucia;w
27;Nele;w
27;Romy;w
26;Aaron;m
26;Adam;m
26;Adrian;m
26;Alessia;w
26;Emilio;m
26;Nur;w
26;Friedrich;m
26;Rosa;w
26;Wilhelm;m
25;Amira;w
25;Muhammed;m
25;Martha;w
25;Sara;w
24;Joel;m
24;Lennard;m
24;Carla;w
24;Ole;m
24;Melina;w
24;Tilda;w
24;Viktoria;w
23;Aras;m
23;Erik;m
23;Fabian;m
23;Carlotta;w
23;Mert;m
23;Franziska;w
23;Nick;m
23;Julie;w
23;Raphael;m
23;Sofie;w
23;Sam;m
23;Zoe;w
23;Sebastian;m
22;Andreas;m
22;Luke;m
22;Matti;m
22;Piet;m
21;Theresa;w
21;Heinrich;m
20;Juna;w
20;Liya;w
20;Medina;w
20;Milla;w
20;Hamza;m
20;Jona;m
20;Marlon;m
20;Mustafa;m
20;Oliver;m
20;Oscar;m
20;Pepe;m
19;Fiona;w
19;Jule;w
19;Valentina;w
19;Bruno;m
19;Constantin;m
19;Emir;m
19;Florian;m
19;Georg;m
19;Jasper;m
19;Mattis;m
19;Nils;m
19;Robert;m
19;Robin;m
19;Yasin;m
18;Alexandra;w
18;Amalia;w
18;Ela;w
18;Elina;w
18;Fritz;m
18;Joshua;m
18;Lian;m
18;Matthias;m
18;Mehmet;m
18;Milo;m
18;Nico;m
18;Thomas;m
18;Tobias;m
18;Ömer;m
17;Edda;w
17;Hira;w
17;Jasmin;w
17;Leyla;w
17;Lilly;w
17;Lou;w
17;Luna;w
17;Malin;w
17;Nina;w
17;Zoé;w
17;Antonio;m
17;Caspar;m
17;Ferdinand;m
17;Hannes;m
17;Hendrik;m
17;John;m
17;Kian;m
17;Konrad;m
17;Leopold;m
17;Luka;m
17;Mikail;m
16;Amina;w
16;Helene;w
16;Karla;w
16;Linda;w
16;Stella;w
16;Thea;w
16;Damian;m
16;Ibrahim;m
16;Kaan;m
16;Lucas;m
16;Nikolas;m
15;Amelia;w
15;Giulia;w
15;Isabelle;w
15;Liv;w
15;Magdalena;w
15;Mariam;w
15;Melody;w
15;Milena;w
15;Nisa;w
15;Ronja;w
15;Deniz;m
15;Dominik;m
15;Franz;m
15;Hüseyin;m
15;Leandro;m
15;Luan;m
15;Mohammed;m
15;Nicolas;m
15;Rayan;m
15;Richard;m
15;Till;m
14;Anni;w
14;Asya;w
14;Christine;w
14;Lilli;w
14;Arthur;m
14;Eric;m
14;Fiete;m
14;Jannik;m
14;Johan;m
14;Lennart;m
